participant.condition,exp_stageID,group_PSE_median,group_PSE_lower,group_PSE_upper,ci_width,PSE_test1,expected_pse_exposure,pct,pct_label,block_type,expected_pse_test
expo+20ms,Test 1,46.98240829435274,32.53988325165877,64.78934042083273,32.24945716917396,46.98240829435274,NA,0,0.0%,Test,64.59
expo+20ms,Exposure 1,55.316759150472265,40.34411950890534,72.42042402596616,32.07630451706082,46.98240829435274,64.49,0.47604210768927147,47.6%,Exposure,NA
expo+20ms,Test 2,51.10174413360909,38.02912102711815,66.76990154088622,28.740780513768073,46.98240829435274,NA,0.23395225810098494,23.4%,Test,64.59
expo+20ms,Exposure 2,56.57159965275409,42.25197483626053,72.73253717957483,30.480562343314304,46.98240829435274,64.49,0.5477161861907173,54.8%,Exposure,NA
expo+20ms,Test 3,52.89296102835965,36.969241707620995,72.94604363633896,35.97680192871796,46.98240829435274,NA,0.3356820644649107,33.6%,Test,64.59
expo+20ms,Exposure 3,56.34151474532945,41.626184686536796,72.08488946744257,30.45870478090577,46.98240829435274,64.49,0.5345741783524591,53.5%,Exposure,NA
expo+20ms,Test 4,53.34496616764169,36.7564090894837,75.97014857396115,39.21373948447746,46.98240829435274,NA,0.36135310152883043,36.1%,Test,64.59
expo+20ms,Test 5,48.20294972283662,31.551351948769447,67.86779551802454,36.316443569255085,46.98240829435274,NA,0.06931904424455848,6.9%,Test,64.59
expo+20ms,Test 6,48.24545189134453,30.76727636153319,70.31438491210471,39.54710855057152,46.98240829435274,NA,0.07173289897372494,7.2%,Test,64.59
expo-10ms,Test 1,47.13067005916447,30.335189004374282,67.7692203148684,37.43403131049412,47.13067005916447,NA,-0,-0.0%,Test,34.53
expo-10ms,Exposure 1,45.82643179563655,31.80906728805751,60.93747246873019,29.128405180672683,47.13067005916447,34.35,0.10204772187141374,10.2%,Exposure,NA
expo-10ms,Test 2,41.80455487836258,25.403772586770177,58.04336057552207,32.6395879887519,47.13067005916447,NA,0.4226850759359584,42.3%,Test,34.53
expo-10ms,Exposure 2,42.59693960975037,26.343919595385678,58.98916647692538,32.6452468815397,47.13067005916447,34.35,0.35473339257069364,35.5%,Exposure,NA
expo-10ms,Test 3,41.84287262257001,27.41199197554049,55.658307748758475,28.246315773217983,47.13067005916447,NA,0.41964414684032164,42.0%,Test,34.53
expo-10ms,Exposure 3,42.31744596758713,26.788724897371765,58.152654231089954,31.36392933371819,47.13067005916447,34.35,0.37660185806345753,37.7%,Exposure,NA
expo-10ms,Test 4,40.06396524711671,25.055891858416853,53.91748580955033,28.861593951133475,47.13067005916447,NA,0.5608197642559606,56.1%,Test,34.53
expo-10ms,Test 5,43.50859046429149,29.40477662303945,57.551842810466894,28.147066187427445,47.13067005916447,NA,0.2874513480526098,28.7%,Test,34.53
expo-10ms,Test 6,41.164853542638824,25.506563957484815,56.320242996350046,30.81367903886523,47.13067005916447,NA,0.47345232344899857,47.3%,Test,34.53
expo-20ms,Test 1,45.16313685715717,25.86614715720224,69.99196471778777,44.12581756058553,45.16313685715717,NA,-0,-0.0%,Test,24.49
expo-20ms,Exposure 1,40.66133967891941,23.56533211413573,57.53137878583442,33.96604667169869,45.16313685715717,24.83,0.22140200057981443,22.1%,Exposure,NA
expo-20ms,Test 2,33.6550760800033,11.382205322478368,51.885307839207805,40.503102516729435,45.16313685715717,NA,0.556667372574845,55.7%,Test,24.49
expo-20ms,Exposure 2,35.38677332105548,16.225501308826676,53.95038832675609,37.72488701792942,45.16313685715717,24.83,0.4808094100178377,48.1%,Exposure,NA
expo-20ms,Test 3,38.081986084314636,18.841011502575483,56.66847053159267,37.827459029017184,45.16313685715717,NA,0.3425290908569105,34.3%,Test,24.49
expo-20ms,Exposure 3,37.14060338331172,17.17294950558866,55.94022037342702,38.767270867838356,45.16313685715717,24.83,0.3945546390704371,39.5%,Exposure,NA
expo-20ms,Test 4,36.80551247652876,16.496370700209685,54.78518192155876,38.28881122134908,45.16313685715717,NA,0.4042746119457409,40.4%,Test,24.49
expo-20ms,Test 5,38.15860436973371,21.082754965649354,55.00573105378063,33.92297608813128,45.16313685715717,NA,0.3388229147720486,33.9%,Test,24.49
expo-20ms,Test 6,37.888381210411154,17.91457311325331,56.87153495944434,38.95696184619103,45.16313685715717,NA,0.3518941366765755,35.2%,Test,24.49
